arquitetura,consulta,repeticao,tempo_s
parquet_bruto,Q5,27,0.1235
parquet_bruto,Q5,28,0.1277
parquet_bruto,Q5,29,0.1189
parquet_bruto,Q5,30,0.1144
delta,Q1,1,0.2541
delta,Q1,2,0.2348
delta,Q1,3,0.2387
delta,Q1,4,0.2574
delta,Q1,5,0.2733
delta,Q1,6,0.2275
delta,Q1,7,0.2268
delta,Q1,8,0.2481
delta,Q1,9,0.2362
delta,Q1,10,0.281
delta,Q1,11,0.2181
delta,Q1,12,0.2498
delta,Q1,13,0.2505
delta,Q1,14,0.2194
delta,Q1,15,0.2632
delta,Q1,16,0.2716
delta,Q1,17,0.2186
delta,Q1,18,0.2698
delta,Q1,19,0.2513
delta,Q1,20,0.2545
delta,Q1,21,0.2809
delta,Q1,22,0.2533
delta,Q1,23,0.2517
delta,Q1,24,0.2523
delta,Q1,25,0.2511
delta,Q1,26,0.2189
delta,Q1,27,0.2204
delta,Q1,28,0.2998
delta,Q1,29,0.1928
delta,Q1,30,0.2468
delta,Q2,1,0.2641
delta,Q2,2,0.1945
delta,Q2,3,0.2051
delta,Q2,4,0.1567
delta,Q2,5,0.2275
delta,Q2,6,0.1622
delta,Q2,7,0.2233
delta,Q2,8,0.1897
delta,Q2,9,0.1799
delta,Q2,10,0.1601
delta,Q2,11,0.1665
delta,Q2,12,0.1615
delta,Q2,13,0.1661
delta,Q2,14,0.1725
delta,Q2,15,0.1897
delta,Q2,16,0.1672
delta,Q2,17,0.1835
delta,Q2,18,0.199
delta,Q2,19,0.1882
delta,Q2,20,0.1533
delta,Q2,21,0.1844
delta,Q2,22,0.2194
delta,Q2,23,0.1646
delta,Q2,24,0.201
delta,Q2,25,0.1875
delta,Q2,26,0.1736
delta,Q2,27,0.2042
delta,Q2,28,0.2049
delta,Q2,29,0.174
delta,Q2,30,0.1743
delta,Q3,1,0.6104
delta,Q3,2,0.6702
delta,Q3,3,0.6383
delta,Q3,4,0.5933
delta,Q3,5,0.5801
delta,Q3,6,0.6147
delta,Q3,7,0.6104
delta,Q3,8,0.6018
delta,Q3,9,0.5999
delta,Q3,10,0.6112
delta,Q3,11,0.579
delta,Q3,12,0.6384
delta,Q3,13,0.5877
delta,Q3,14,0.5769
delta,Q3,15,0.6013
delta,Q3,16,0.6423
delta,Q3,17,0.5974
delta,Q3,18,0.5545
delta,Q3,19,0.643
delta,Q3,20,0.6066
delta,Q3,21,0.6202
delta,Q3,22,0.6101
delta,Q3,23,0.6128
delta,Q3,24,0.5973
delta,Q3,25,0.5931
delta,Q3,26,0.6566
delta,Q3,27,0.6085
delta,Q3,28,0.5927
delta,Q3,29,0.5804
delta,Q3,30,0.5774
delta,Q4,1,0.2923
delta,Q4,2,0.2519
delta,Q4,3,0.243
delta,Q4,4,0.2266
delta,Q4,5,0.2535
delta,Q4,6,0.2637
delta,Q4,7,0.2518
delta,Q4,8,0.2368
delta,Q4,9,0.3299
delta,Q4,10,0.3289
delta,Q4,11,0.2956
delta,Q4,12,0.2801
delta,Q4,13,0.2501
delta,Q4,14,0.2368
delta,Q4,15,0.2528
delta,Q4,16,0.2972
delta,Q4,17,0.2344
delta,Q4,18,0.2822
delta,Q4,19,0.2508
delta,Q4,20,0.2373
delta,Q4,21,0.2662
delta,Q4,22,0.2304
delta,Q4,23,0.224
delta,Q4,24,0.2649
delta,Q4,25,0.223
delta,Q4,26,0.3156
delta,Q4,27,0.2222
delta,Q4,28,0.2825
delta,Q4,29,0.2449
delta,Q4,30,0.2599
delta,Q5,1,0.2333
delta,Q5,2,0.2404
delta,Q5,3,0.2321
delta,Q5,4,0.1871
delta,Q5,5,0.2333
delta,Q5,6,0.1836
delta,Q5,7,0.2497
delta,Q5,8,0.187
delta,Q5,9,0.2381
delta,Q5,10,0.1999
delta,Q5,11,0.2316
delta,Q5,12,0.2073
delta,Q5,13,0.2038
delta,Q5,14,0.2014
delta,Q5,15,0.2044
delta,Q5,16,0.2201
delta,Q5,17,0.2187
delta,Q5,18,0.226
delta,Q5,19,0.2609
delta,Q5,20,0.2195
delta,Q5,21,0.2466
delta,Q5,22,0.1891
delta,Q5,23,0.2201
delta,Q5,24,0.2503
delta,Q5,25,0.2162
delta,Q5,26,0.1738
